id,time_observed_at,image_url,tag_list,latitude,longitude,common_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
83553,,https://static.inaturalist.org/photos/122578/medium.JPG,"",40.8398286812,-73.8436388969,Western Honey Bee,47219,Hymenoptera,Apidae,Apis,Apis mellifera
101294,,https://static.inaturalist.org/photos/146716/medium.JPG,"",44.1833826,-73.4637448,Japanese Beetle,67760,Coleoptera,Scarabaeidae,Popillia,Popillia japonica
103254,,https://static.inaturalist.org/photos/149039/medium.jpg,"",44.1839413,-73.4356831,Japanese Beetle,67760,Coleoptera,Scarabaeidae,Popillia,Popillia japonica
122130,,https://static.inaturalist.org/photos/174238/medium.jpg,"",40.8636369636,-73.8812214913,Brown Marmorated Stink Bug,81923,Hemiptera,Pentatomidae,Halyomorpha,Halyomorpha halys
131510,,https://static.inaturalist.org/photos/184866/medium.jpg,"",42.0866922087,-75.966803356,Western Honey Bee,47219,Hymenoptera,Apidae,Apis,Apis mellifera
131745,,https://static.inaturalist.org/photos/185024/medium.jpg,"",42.0908517282,-75.9098614233,Brown Marmorated Stink Bug,81923,Hemiptera,Pentatomidae,Halyomorpha,Halyomorpha halys
131785,,https://inaturalist-open-data.s3.amazonaws.com/photos/185066/medium.jpg,"",42.0894900668,-75.970306321,Western Honey Bee,47219,Hymenoptera,Apidae,Apis,Apis mellifera
131812,,https://inaturalist-open-data.s3.amazonaws.com/photos/185099/medium.JPG,"",42.0898841775,-75.9713899334,Asian Lady Beetle,48484,Coleoptera,Coccinellidae,Harmonia,Harmonia axyridis
147495,,https://static.inaturalist.org/photos/203430/medium.JPG,"mantis, Manhattan, Avenue D",40.7234345084,-73.976548704,Chinese Mantis,71034,Mantodea,Mantidae,Tenodera,Tenodera sinensis
191017,2009-07-12 18:59:37 UTC,https://static.inaturalist.org/photos/245573/medium.jpg,"",42.90078,-73.345241,Japanese Beetle,67760,Coleoptera,Scarabaeidae,Popillia,Popillia japonica
277885,,https://inaturalist-open-data.s3.amazonaws.com/photos/343910/medium.jpg,"",40.701977,-74.015316,Western Honey Bee,47219,Hymenoptera,Apidae,Apis,Apis mellifera
305760,2013-06-20 12:01:15 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/379428/medium.jpg,"",40.661347,-73.987297,Spongy Moth,47802,Lepidoptera,Erebidae,Lymantria,Lymantria dispar
330653,2013-07-12 19:48:10 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/412371/medium.jpg,"",44.2730073212,-73.9484369941,Japanese Beetle,67760,Coleoptera,Scarabaeidae,Popillia,Popillia japonica
331718,2013-07-13 20:01:13 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/413949/medium.jpg,"",41.242547,-74.125312,Japanese Beetle,67760,Coleoptera,Scarabaeidae,Popillia,Popillia japonica
339723,2013-07-21 02:29:43 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/422884/medium.jpg,"",44.273445,-73.947365,Asian Lady Beetle,48484,Coleoptera,Coccinellidae,Harmonia,Harmonia axyridis
340095,2013-07-21 14:35:01 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/423301/medium.jpg,"",44.2748647509,-73.9480390213,Japanese Beetle,67760,Coleoptera,Scarabaeidae,Popillia,Popillia japonica
340252,2013-07-21 13:52:44 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/424512/medium.jpg,"",44.27389699,-73.94801161,Japanese Beetle,67760,Coleoptera,Scarabaeidae,Popillia,Popillia japonica
343886,2013-07-21 18:24:44 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/427959/medium.jpg,"",44.2767422,-73.966409,Japanese Beetle,67760,Coleoptera,Scarabaeidae,Popillia,Popillia japonica
352376,,https://inaturalist-open-data.s3.amazonaws.com/photos/439347/medium.jpg,non-native bees,40.793318,-73.978765,Western Honey Bee,47219,Hymenoptera,Apidae,Apis,Apis mellifera
383595,,https://inaturalist-open-data.s3.amazonaws.com/photos/479558/medium.JPG,"Animal, Insect",41.399862,-73.9732,Chinese Mantis,71034,Mantodea,Mantidae,Tenodera,Tenodera sinensis
383610,,https://inaturalist-open-data.s3.amazonaws.com/photos/479583/medium.JPG,"Animal, Insect",41.399862,-73.9732,Chinese Mantis,71034,Mantodea,Mantidae,Tenodera,Tenodera sinensis
383625,,https://inaturalist-open-data.s3.amazonaws.com/photos/479593/medium.JPG,"Animal, Insect",41.400026,-73.973047,Chinese Mantis,71034,Mantodea,Mantidae,Tenodera,Tenodera sinensis
392716,2013-09-09 19:17:12 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/491519/medium.jpg,"",40.809942,-73.962875,Western Honey Bee,47219,Hymenoptera,Apidae,Apis,Apis mellifera
410846,2013-09-27 20:05:46 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/517013/medium.jpg,"",42.640982,-73.608691,Chinese Mantis,71034,Mantodea,Mantidae,Tenodera,Tenodera sinensis
